Time(ms),Roll,Pitch,Yaw,M1,M2,M3,M4,Speed(Bps),Volume(Bytes)
18554,7.97,-5.74,-4.40,407,411,374,406,7868,72856
18754,3.24,-4.30,-5.12,398,408,380,411,7868,74438
18954,-0.17,-0.15,-6.88,386,413,386,414,7868,76020
19154,-2.67,0.60,-9.36,377,416,385,421,7868,77602
19354,-4.34,-1.62,-14.00,368,420,375,435,7924,79184
19554,2.12,-8.80,-22.64,367,437,341,453,7924,80766
19754,5.04,-8.16,-30.95,353,458,322,465,7924,82348
19954,6.41,-7.79,-40.30,336,478,302,482,7924,83930
20155,3.30,-8.53,-48.22,317,490,289,502,7924,85526
20355,6.82,-11.34,-56.62,308,507,264,518,7924,87108
20555,6.38,-9.54,-65.83,287,527,249,535,7924,88690
20755,9.83,-3.23,-78.84,257,565,226,549,7924,90272
20955,5.90,5.60,-82.52,235,578,234,551,7924,91854
21155,9.08,3.39,-86.19,234,587,220,557,7924,93436
21355,9.19,2.26,-86.02,236,585,219,558,7910,95018
21555,10.85,1.67,-85.20,240,585,218,555,7910,96600
21756,9.78,-1.95,-91.17,231,591,203,572,7910,98196
21956,9.26,1.27,-94.59,220,601,201,576,7910,99778
22156,6.26,12.46,-98.00,196,618,211,573,7910,101360
22356,6.79,14.55,-100.98,188,627,207,576,7924,102942
22556,4.31,17.51,-101.79,180,629,212,577,7924,104524
22756,6.12,15.91,-100.92,186,628,209,575,7924,106106
22956,6.51,17.28,-99.75,187,628,213,570,7924,107688
23156,8.45,14.98,-99.55,193,627,208,570,7924,109270
23356,12.77,6.54,-93.93,219,611,204,564,7910,110852
23556,16.30,8.24,-80.48,248,590,229,531,7910,112434
23757,18.71,0.54,-64.99,291,553,248,506,7910,114016
23957,20.31,-8.80,-50.85,333,515,263,487,7910,115598
24157,17.66,-12.02,-37.81,359,482,288,468,7910,117180
24357,17.89,-9.34,-26.57,379,463,314,442,7910,118762
24557,11.37,-13.26,-17.64,394,433,335,437,7910,120344
24757,9.67,-7.74,-7.76,405,417,363,413,7910,121926
24957,2.77,-6.86,3.72,418,387,395,397,7910,123508
25157,2.40,-3.94,18.09,443,361,428,365,7910,125090
25357,2.81,-4.48,31.39,471,335,454,339,7910,126672
25557,2.46,-4.83,39.91,488,317,471,323,7910,128254
25757,0.32,-2.84,48.22,500,300,492,306,7910,129836
25957,-0.13,-6.84,56.52,521,278,504,295,7910,131418
26157,-1.48,-4.99,63.97,532,264,523,279,7910,133000
26357,-2.01,-6.67,71.55,548,246,537,267,7910,134582
26557,-3.11,-6.64,76.35,556,235,548,259,7910,136164
26757,-2.30,-6.94,80.43,566,228,555,250,7910,137746
26958,-2.19,-4.65,82.68,568,226,562,242,7910,139328
27158,-2.43,-6.01,85.15,574,219,566,239,7910,140910
27358,-1.13,-5.31,87.15,579,217,569,233,7910,142492
27558,-2.10,-5.07,87.88,579,215,572,232,7910,144074
27758,-1.95,-5.18,88.44,580,214,573,231,7910,145656
27958,-2.77,-5.41,87.83,578,214,572,234,7910,147238
28158,-3.66,-4.57,87.80,576,214,574,234,7910,148820
28359,-4.65,-4.44,87.87,575,213,575,235,7910,150402
28559,-4.65,-4.29,87.26,574,214,574,236,7910,151984
28759,-4.47,-4.19,85.10,569,219,570,240,7910,153566
28959,-1.31,-5.78,75.73,556,240,546,257,7910,155148
29159,2.52,-9.11,55.73,525,280,497,296,7910,156730
29359,4.72,-9.82,38.71,494,316,459,328,7910,158312
29559,4.64,-14.74,23.98,471,339,424,364,7910,159894
29759,9.90,-15.28,15.96,462,361,401,374,7910,161476
29960,22.93,-20.29,14.70,481,373,377,367,7910,163058
30161,37.86,-25.78,13.94,504,386,351,357,7910,164640
30362,64.36,-22.27,9.24,522,432,314,331,7882,166208
30563,76.94,-13.35,2.30,512,471,296,319,7882,167790
30763,86.38,-5.15,-6.70,496,510,276,315,7882,169372
30964,89.91,0.68,-17.52,472,543,257,326,7882,170954
31165,66.77,1.47,-21.58,435,525,278,361,7882,172536
31366,50.58,-4.65,-11.96,442,479,309,368,7882,174118
31567,67.76,-18.70,-3.50,496,465,289,348,7882,175700
31767,89.77,-25.73,2.51,543,471,266,318,7882,177268
31967,118.30,-24.44,-1.13,569,514,226,289,7882,178836
32167,132.24,-16.73,-11.24,556,561,198,283,7882,180404
32367,129.29,-7.45,-24.43,515,595,187,302,7854,181972
32568,114.64,1.90,-31.92,471,603,200,324,7854,183554
32768,94.86,5.11,-33.44,440,586,225,346,7854,185122
32968,73.24,3.23,-31.47,421,554,253,371,7854,186704
33168,51.83,-0.61,-27.61,407,516,281,393,7854,188272
33369,32.65,-7.49,-21.47,405,473,308,412,7868,189854
33570,30.55,-19.86,-11.57,437,435,316,410,7868,191436
33770,43.81,-36.49,-3.09,490,414,297,397,7868,193004
33971,52.95,-43.14,1.31,517,409,287,385,7868,194572
34171,83.33,-43.45,-8.40,535,464,231,368,7868,196140
34371,97.23,-28.57,-19.34,512,521,210,356,7840,197708
34572,99.94,-21.98,-26.03,494,545,201,358,7840,199290
34772,111.15,-13.22,-34.14,480,585,182,350,7840,200858
34973,102.72,-9.37,-40.30,453,592,184,368,7840,202440
35174,94.41,0.39,-49.08,414,611,189,384,7840,204022
35375,80.86,3.27,-53.45,386,607,200,405,7868,205604
35576,61.37,7.60,-54.31,355,591,226,425,7868,207186
35777,44.75,1.24,-51.75,348,558,244,448,7868,208768
35978,27.90,-3.27,-50.48,336,530,261,471,7868,210350
36179,23.37,-3.33,-47.12,337,518,273,470,7868,211932
36379,18.05,-0.54,-46.71,328,514,284,472,7882,213514
36579,20.92,2.94,-45.18,331,518,288,461,7882,215096
36780,58.09,10.90,-42.35,371,567,258,401,7882,216678
36980,29.35,-9.39,-44.76,356,513,263,465,7882,218260
37180,52.15,4.21,-43.03,371,553,256,418,7882,219828
37380,35.08,-6.22,-45.03,359,524,260,455,7882,221410
37580,57.05,-3.17,-45.40,381,555,236,426,7882,222978
37781,36.96,-5.61,-44.84,361,527,259,452,7882,224560
37982,59.12,-1.96,-45.48,382,559,235,422,7882,226142
38183,47.57,-7.78,-45.67,375,539,242,443,7882,227724
38384,42.62,-1.83,-46.83,359,542,253,444,7868,229306
38585,70.75,-2.45,-46.09,395,574,219,410,7868,230888
38786,40.31,-5.67,-45.36,364,532,254,449,7868,232470
38987,58.18,-3.00,-44.94,383,556,236,423,7868,234052
39188,90.33,2.51,-45.24,414,601,204,379,7868,235634
39389,47.52,-16.56,-47.81,381,532,227,458,7868,237216
39590,26.10,-13.66,-60.10,327,535,232,505,7868,238798
39791,69.99,29.67,-62.36,323,644,226,405,7868,240380
39992,74.42,15.97,-49.52,371,607,230,390,7868,241962
40192,65.53,-29.45,-35.74,442,514,214,428,7868,243530
40392,30.13,-34.32,-42.10,393,479,238,489,7868,245098
40592,65.26,9.72,-57.93,350,605,217,425,7868,246666
40793,86.62,13.41,-47.09,393,614,217,374,7868,248248
40993,73.43,-16.18,-39.68,428,548,213,410,7868,249830
41193,40.06,-19.79,-38.17,395,500,251,452,7868,251398
41393,25.05,-17.71,-45.05,361,498,258,481,7868,252980
41593,50.67,0.68,-48.63,362,558,242,435,7868,254548
41794,81.79,-6.81,-40.16,426,570,213,390,7868,256130
41995,90.85,-17.84,-30.76,468,549,208,373,7868,257712
42195,47.19,-34.68,-21.37,455,457,259,427,7868,259280
42395,24.41,-28.64,-28.99,405,452,278,463,7868,260848
42596,54.69,1.04,-39.75,384,546,256,412,7868,262430
42797,71.79,6.68,-42.30,393,578,237,390,7868,264012
42998,89.31,-1.54,-32.99,443,571,225,360,7868,265594
43199,96.07,-15.12,-21.15,491,539,224,345,7868,267176
43400,80.30,-26.53,-13.70,500,491,244,362,7868,268758
43600,38.02,-28.23,-21.14,437,454,278,430,7868,270326
43800,45.95,-3.70,-33.61,392,517,273,416,7868,271894
44001,76.27,7.95,-34.86,412,570,248,368,7868,273476
44201,97.83,-3.52,-28.62,464,570,221,344,7868,275058
44401,101.87,-13.47,-18.03,502,542,225,329,7868,276626
44602,69.63,-19.45,-14.67,477,489,263,369,7868,278208
44803,29.01,-18.33,-20.70,415,454,301,428,7868,279790
45004,24.75,-7.42,-29.76,379,480,301,438,7868,281372
45204,47.84,1.65,-30.55,394,520,283,401,7868,282954
45404,65.68,-5.19,-25.33,434,523,264,378,7882,284522
45605,87.42,-12.84,-18.69,482,526,242,347,7882,286104
45806,97.82,-16.05,-12.39,511,522,238,326,7882,287686
46007,70.14,-30.61,-3.98,512,455,271,360,7882,289268
46207,43.15,-36.85,-8.88,478,425,286,410,7882,290836
46407,63.07,-3.59,-29.95,420,531,260,388,7854,292404
46608,83.34,15.95,-38.56,403,596,242,357,7854,293986
46809,77.20,11.45,-36.27,406,578,248,366,7854,295568
47010,53.16,-10.06,-27.57,420,506,269,403,7854,297150
47211,69.14,11.07,-32.26,405,560,265,368,7854,298732
47412,103.68,26.36,-36.21,420,628,234,316,7882,300314
47613,143.80,19.98,-39.78,469,676,171,283,7882,301896
47813,144.93,5.43,-40.67,486,661,151,300,7882,303464
48013,124.51,6.67,-41.58,458,640,175,325,7882,305032
48213,91.07,2.27,-43.45,419,598,206,374,7882,306600
48414,39.13,-3.26,-39.76,371,522,269,436,7854,308182
48615,31.18,-10.79,-39.22,371,502,271,453,7854,309764
48816,29.18,-0.09,-42.06,351,519,280,449,7854,311346
49017,27.05,-1.16,-41.88,350,514,282,452,7854,312928
49218,27.39,-2.06,-40.12,355,510,284,449,7854,314510
49418,26.27,-9.16,-41.23,360,502,275,461,7882,316092
49619,60.89,18.84,-51.29,347,598,246,406,7882,317674
49819,115.34,32.70,-62.08,375,701,176,346,7882,319242
50019,137.66,35.52,-67.36,387,742,142,326,7882,320810
50220,94.16,13.74,-56.27,383,642,190,383,7882,322378
50420,34.96,-32.20,-40.79,399,484,237,478,7840,323946
50621,53.31,-12.48,-45.06,388,539,230,441,7840,325528
50822,99.75,16.48,-62.45,375,664,175,385,7840,327110
51022,129.91,18.88,-72.84,387,724,121,367,7840,328678
51222,102.94,15.05,-74.62,356,690,145,407,7840,330246
51423,34.19,-1.03,-62.55,317,564,232,485,7854,331828
51623,14.42,-12.21,-61.36,309,525,245,520,7854,333410
51824,7.12,-9.12,-60.47,298,518,259,523,7854,334992
52025,-1.39,-14.93,-61.88,292,504,259,543,7854,336588
52225,-15.06,-14.32,-54.30,290,473,292,543,7854,338170
52426,-26.86,-16.36,-48.34,290,444,315,548,7896,339752
52626,-39.06,-15.36,-44.93,281,424,338,555,7896,341320
52827,-47.08,-22.28,-46.40,277,409,336,576,7896,342902
53027,-39.21,-18.24,-45.75,283,422,333,560,7896,344470
53227,2.47,5.31,-39.57,317,488,324,469,7896,346052
53427,24.98,13.62,-38.61,336,523,309,430,7882,347634
53627,46.51,7.51,-39.91,366,544,273,414,7882,349202
53828,52.89,0.41,-37.59,387,539,261,411,7882,350784
54029,42.80,0.33,-38.25,374,528,272,424,7882,352366
54230,17.07,-0.18,-34.60,351,489,310,448,7882,353948
54430,-6.92,-6.40,-33.81,331,451,333,483,7882,355530
54630,-24.26,-14.08,-33.34,321,420,345,512,7882,357112
54830,-34.29,-18.38,-32.73,315,402,353,528,7882,358680
55031,-39.80,-19.73,-31.43,313,391,361,534,7882,360262
55231,-37.50,-19.30,-32.10,313,396,357,532,7882,361830
55432,-10.16,-12.32,-35.56,331,444,326,498,7868,363412
55632,30.42,-5.25,-40.06,362,510,277,449,7868,364994
55833,59.79,-1.00,-43.08,386,556,240,415,7868,366576
56034,72.31,-1.12,-43.81,400,573,224,402,7868,368158
56235,70.66,-2.91,-44.32,399,569,223,407,7868,369740
56436,62.26,0.04,-44.41,385,563,236,414,7882,371322
56637,46.20,0.24,-43.81,367,543,257,431,7882,372904
56838,20.46,-5.21,-40.68,349,499,287,463,7882,374486
57038,-6.23,-9.55,-39.11,325,459,317,497,7882,376068
57238,-22.56,-19.75,-38.86,318,426,325,528,7882,377650
57439,-27.85,-16.21,-36.71,312,420,340,526,7882,379232
57640,-27.62,-19.70,-37.28,315,417,334,531,7882,380814
57841,-0.86,-12.38,-40.31,333,464,305,496,7882,382396
58041,24.97,-5.31,-41.12,354,505,281,458,7882,383978
58242,55.01,-14.57,-45.68,392,539,225,442,7882,385560
58442,68.01,-12.13,-47.09,401,561,209,427,7882,387128
58642,72.27,-11.26,-47.46,405,568,204,421,7882,388710
58842,50.68,-5.09,-46.18,374,547,240,437,7882,390278
59043,18.48,-0.49,-45.90,330,513,285,470,7882,391860
59243,-10.83,-10.02,-45.11,308,465,310,515,7882,393442
59443,-25.88,-14.70,-44.72,297,440,323,538,7882,395024
59643,-31.16,-14.82,-44.43,291,433,330,544,7882,396592
59844,-36.50,-16.78,-40.45,295,416,342,544,7882,398174
60045,-42.70,-16.68,-38.96,290,406,353,549,7882,399756
60245,-51.02,-26.72,-38.46,293,383,352,570,7882,401324
60445,-51.40,-27.23,-36.83,297,379,355,568,7854,402892
60646,-55.33,-25.26,-35.94,292,375,364,568,7854,404460
60847,-61.62,-28.35,-37.84,284,367,364,583,7854,406028
61047,-73.99,-32.31,-38.30,273,349,373,604,7854,407596
61248,-75.80,-35.86,-37.95,276,341,372,609,7854,409164
61448,-82.28,-39.63,-41.31,266,336,368,628,7826,410732
61648,-84.81,-39.67,-44.05,257,338,366,637,7826,412300
61849,-79.72,-37.03,-45.07,258,350,361,630,7826,413868
62049,-77.42,-37.10,-45.13,261,352,358,627,7826,415436
62249,-75.59,-38.96,-45.67,264,353,352,628,7826,417004
62449,-74.41,-41.05,-46.03,267,353,347,630,7826,418572
62650,-70.78,-39.93,-46.24,270,359,344,625,7826,420140
62850,-67.34,-39.57,-46.91,272,365,339,622,7826,421708
63051,-63.25,-40.28,-49.37,273,374,328,622,7826,423276
63252,-47.05,-38.80,-54.19,281,405,301,611,7826,424844
63452,-20.09,-32.64,-67.85,279,472,249,598,7812,426412
63652,13.52,-21.38,-80.65,280,551,196,570,7812,427980
63852,40.37,-4.30,-85.27,283,613,175,527,7812,429562
64052,61.84,-1.30,-83.54,308,639,157,494,7812,431130
64253,77.83,-5.36,-81.34,337,649,137,475,7812,432712
64453,92.95,-4.22,-80.54,355,667,122,454,7868,434294
64653,97.85,-3.59,-81.29,359,675,115,449,7868,435862
64853,82.41,-4.49,-82.89,338,659,129,472,7868,437444
65053,50.71,-8.82,-83.71,304,617,161,517,7868,439012
65253,21.59,-7.85,-81.89,271,580,200,547,7868,440594
65453,7.50,-17.08,-86.48,256,561,197,584,7882,442176
65653,-0.78,-9.33,-85.31,239,558,219,582,7882,443758
65853,-7.22,-5.53,-82.80,232,550,236,580,7882,445340
66053,-12.22,-6.85,-82.57,228,542,241,588,7882,446922
66254,-9.65,-6.77,-84.32,227,548,234,588,7882,448504
66454,-4.37,-4.99,-83.83,233,556,231,578,7910,450086
66654,-1.97,-3.48,-82.78,236,559,232,572,7910,451668
66854,-2.44,-2.69,-81.95,236,557,235,570,7910,453250
67054,-1.62,-1.79,-81.23,237,558,237,566,7910,454832
67254,-2.32,-2.32,-81.16,237,556,237,567,7910,456414
67454,-2.00,-2.09,-80.89,238,556,238,566,7910,457996
67654,-0.78,-1.65,-80.77,239,558,237,564,7910,459578
67854,-1.01,-3.11,-81.01,240,557,235,566,7910,461160
68054,0.41,-2.17,-80.68,241,559,235,563,7910,462742
68254,0.70,-3.13,-81.06,242,559,233,565,7910,464324
68455,2.76,-2.47,-81.14,243,562,231,561,7910,465920
68655,2.90,-2.86,-80.99,244,562,231,561,7910,467502
68855,4.65,-1.98,-80.95,246,565,230,558,7910,469084
69055,8.74,-1.73,-80.76,251,569,225,553,7910,470666
69256,21.97,-2.83,-80.57,268,584,209,538,7910,472262
69457,37.01,-4.01,-80.11,288,599,190,520,7910,473844
69658,45.63,-0.89,-79.31,297,612,185,504,7910,475426
69859,53.01,-1.54,-78.11,309,617,178,494,7910,477008
70059,55.60,-2.50,-77.43,314,618,175,491,7910,478576
70260,57.54,-3.09,-77.00,318,619,173,488,7910,480158
70461,56.14,-3.26,-76.79,317,617,175,490,7868,481740
70662,46.22,-1.43,-77.00,303,607,188,500,7868,483322
70863,35.08,-3.55,-76.75,292,591,200,515,7868,484904
71064,26.17,-6.05,-76.42,285,576,208,528,7868,486486
71264,16.42,-6.56,-75.80,275,563,220,539,7868,488068
71464,8.04,-9.30,-75.57,269,549,228,552,7882,489650
71664,2.94,-10.15,-75.62,264,542,233,559,7882,491232
71864,3.05,-10.95,-76.00,264,542,231,561,7882,492814
72064,3.02,-11.49,-76.04,265,541,230,562,7882,494396
72264,3.35,-8.06,-71.69,270,537,242,549,7882,495978
72464,-3.49,-3.07,-60.36,278,512,279,528,7910,497560
72664,-0.62,-10.56,-47.18,317,480,293,507,7910,499142
72864,-4.62,-14.77,-33.00,346,442,321,489,7910,500724
73064,-6.01,-16.03,-24.30,363,422,339,475,7910,502306
73264,-2.51,-16.51,-19.52,377,416,344,461,7910,503888
73464,3.10,-18.20,-27.71,370,437,319,473,7910,505470
73664,1.59,-16.18,-39.66,342,461,299,496,7910,507052
73864,4.07,-13.40,-54.34,312,497,270,519,7910,508634
74064,5.60,-14.58,-68.52,287,526,238,547,7910,510216
74265,7.95,-14.56,-75.97,275,544,221,559,7910,511812
74465,9.37,-13.79,-80.46,266,555,211,566,7910,513394
74665,8.46,-10.26,-83.79,254,565,209,569,7910,514976
74865,3.64,-7.14,-85.34,242,566,216,574,7910,516558
75065,2.28,-3.26,-85.07,236,568,223,571,7910,518140
75265,1.20,-3.60,-86.27,233,569,221,575,7910,519722
75466,0.57,-2.58,-86.31,231,570,223,575,7924,521318
75666,0.29,-0.31,-84.99,230,569,229,570,7924,522900
75866,0.90,-1.81,-85.31,232,569,226,571,7924,524482
76066,0.44,-1.15,-85.63,230,570,226,572,7924,526064
DANG DUNG (0x03) - DONG CO TAT
DANG DUNG (0x03) - DONG CO TAT
DANG DUNG (0x03) - DONG CO TAT
DANG DUNG (0x03) - DONG CO TAT
DANG DUNG (0x03) - DONG CO TAT
DA TAT HE THONG (0x04)!
