Time(ms),Roll,Pitch,Yaw,M1,M2,M3,M4,Speed(Bps),Volume(Bytes)
--- HET THONG FLIGHT CONTROLLER (STAGE 8) SAN SANG ---
Khoi dong He thong...
Dang Calibrate, vui long de im mach...
Calibrate XONG! San sang bay (0x02)
Time(ms),Roll,Pitch,Yaw,M1,M2,M3,M4,I2C_Speed(Bps),I2C_Volume(Bytes)
--- DONG CO DA MO GA (THROTTLE = 400) ---
9331,-0.00,-0.02,0.08,400,399,400,399,14,14
9532,0.06,-0.03,0.10,400,399,400,399,14,1610
9733,0.05,-0.04,0.09,400,399,400,399,14,3206
9933,0.06,-0.04,0.03,400,399,399,399,14,4788
10134,0.01,-0.05,0.02,400,399,399,400,14,6384
10335,-0.04,-0.08,0.02,400,399,399,400,7938,7980
10535,0.00,-0.11,0.02,400,399,399,400,7938,9562
10736,-0.02,-0.10,0.01,400,399,399,400,7938,11158
10936,-0.00,-0.11,0.02,400,399,399,400,7938,12740
11136,-0.02,-0.06,0.01,400,399,399,400,7938,14322
11336,-0.07,-0.04,0.01,399,399,400,400,7924,15904
11536,-0.02,-0.06,0.01,400,399,399,400,7924,17486
11736,-0.03,-0.05,0.01,400,399,399,400,7924,19068
11937,0.02,-0.04,0.00,400,399,399,400,7924,20664
12137,-0.03,-0.04,-0.00,400,399,399,400,7924,22246
12337,-0.03,-0.08,-0.00,400,399,399,400,7910,23828
12537,-0.02,-0.10,-0.00,400,399,399,400,7910,25410
12737,-0.02,-0.07,-0.01,400,399,399,400,7910,26992
12937,0.02,-0.06,-0.01,400,399,399,400,7910,28574
13137,-0.04,-0.02,-0.01,399,399,400,400,7910,30156
13337,0.70,-2.10,-0.62,402,399,395,402,7924,31738
13538,9.83,-9.13,-0.16,422,401,376,399,7924,33334
13738,18.52,-10.71,0.35,435,408,365,389,7924,34916
13938,24.03,-11.44,0.20,442,414,357,384,7924,36498
14139,29.81,-11.21,-0.35,448,423,350,378,7924,38080
14340,37.00,-12.30,-0.28,458,430,340,370,7896,39662
14541,43.76,-11.89,-0.32,466,438,332,362,7896,41244
14742,48.60,-10.90,-0.57,470,446,327,355,7896,42826
14942,55.32,-9.66,-1.48,475,457,319,348,7896,44394
15143,61.13,-7.11,-1.29,479,467,315,337,7896,45976
15344,64.26,-8.25,-1.03,484,469,310,334,7868,47558
15545,69.89,-7.35,-1.56,489,478,304,328,7868,49140
15746,75.72,-5.54,-1.68,494,487,299,319,7868,50722
15946,82.93,-6.52,-0.79,505,493,291,309,7868,52304
16147,87.67,-7.60,0.24,514,495,286,303,7868,53886
16348,91.08,-7.06,0.62,519,499,283,297,7882,55468
16548,94.89,-7.52,1.06,525,502,279,293,7882,57050
16748,97.06,-8.66,1.44,529,503,276,291,7882,58618
16949,97.37,-8.97,1.86,531,502,276,290,7882,60200
17149,90.90,-9.13,1.72,523,494,283,298,7882,61782
17350,78.21,-8.87,0.33,505,482,296,316,7882,63364
17551,66.11,-7.65,-1.58,485,473,308,333,7882,64946
17752,53.11,-7.88,-1.89,469,458,323,349,7882,66528
17953,38.04,-9.18,-1.49,453,437,340,368,7882,68110
18154,28.94,-9.32,-1.24,443,426,351,378,7882,69692
18354,17.51,-8.30,-3.37,424,417,362,395,7868,71274
